GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
common-domain,com.h.udemy.java.uservices.domain.valueobject,Money,17,122,8,10,3,24,9,13,1,12
common-domain,com.h.udemy.java.uservices.domain.valueobject,CustomerId,4,0,0,0,2,0,1,0,1,0
common-domain,com.h.udemy.java.uservices.domain.valueobject,OrderId,4,0,0,0,2,0,1,0,1,0
common-domain,com.h.udemy.java.uservices.domain.valueobject,OrderApprovalStatus,15,0,0,0,3,0,1,0,1,0
common-domain,com.h.udemy.java.uservices.domain.valueobject,BaseId,41,0,6,0,9,0,7,0,4,0
common-domain,com.h.udemy.java.uservices.domain.valueobject,RestaurantId,4,0,0,0,2,0,1,0,1,0
common-domain,com.h.udemy.java.uservices.domain.valueobject,PaymentOrderStatus,15,0,0,0,3,0,1,0,1,0
common-domain,com.h.udemy.java.uservices.domain.valueobject,RestaurantOrderStatus,9,0,0,0,2,0,1,0,1,0
common-domain,com.h.udemy.java.uservices.domain.valueobject,ProductId,4,0,0,0,2,0,1,0,1,0
common-domain,com.h.udemy.java.uservices.domain.valueobject,OrderStatus,33,0,0,0,6,0,1,0,1,0
common-domain,com.h.udemy.java.uservices.domain.valueobject,PaymentStatus,21,0,0,0,4,0,1,0,1,0
common-domain,com.h.udemy.java.uservices.domain.util.numbers,Numbers,3,14,0,0,1,6,1,2,1,2
common-domain,com.h.udemy.java.uservices.domain,Constants,7,0,0,0,2,0,1,0,1,0
common-domain,com.h.udemy.java.uservices.domain,DomainException,4,0,0,0,2,0,1,0,1,0
common-domain,com.h.udemy.java.uservices.domain.config,Config,0,23,0,0,0,6,0,2,0,2
common-domain,com.h.udemy.java.uservices.domain.messages,Messages,252,0,0,0,41,0,5,0,5,0
common-domain,com.h.udemy.java.uservices.domain.entity,BaseEntity,42,0,6,0,9,0,8,0,5,0
common-domain,com.h.udemy.java.uservices.domain.entity,AggregateRoot,3,0,0,0,1,0,1,0,1,0
common-domain,com.h.udemy.java.uservices.domain.test.constants,ConstantsTest,23,0,0,0,8,0,2,0,2,0
common-domain,com.h.udemy.java.uservices.domain.event,EmptyEvent,6,0,0,0,2,0,2,0,2,0
common-domain,com.h.udemy.java.uservices.domain.messages.log,LogExceptionMessages,37,0,0,0,11,0,4,0,4,0
common-domain,com.h.udemy.java.uservices.domain.messages.log,LogMessages,3,268,0,0,1,41,1,3,1,3
