GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.order.adapter,OrderRepository,67,9,0,0,13,4,5,1,5,1
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.restaurant.adapter,RestaurantRepository,24,3,0,0,5,1,1,1,1,1
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.customer.adapter,CustomerRepository,12,9,0,0,1,4,1,1,1,1
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.customer.mapper,CustomerDataAccessMapper,9,3,0,0,1,1,1,1,1,1
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.customer.mapper,IOrderDataAccessMapperImpl,63,3,4,0,20,1,4,1,2,1
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.customer.mapper,IOrderDataAccessMapper,0,3,0,0,0,1,0,1,0,1
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.customer.entity,CustomerEntity.CustomerEntityBuilder,18,0,0,0,1,0,4,0,4,0
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.customer.entity,CustomerEntity,20,0,0,0,5,0,5,0,5,0
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.order.entity,OrderAddressEntity,54,38,6,0,7,7,11,7,8,7
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.order.entity,OrderEntity,88,71,7,1,10,13,17,11,13,11
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.order.entity,OrderItemEntityId.OrderItemEntityIdBuilder,27,0,0,0,1,0,5,0,5,0
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.order.entity,OrderItemEntity.OrderItemEntityBuilder,17,37,0,0,0,1,2,6,2,6
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.order.entity,OrderEntity.OrderEntityBuilder,20,70,0,0,0,1,1,11,1,11
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.order.entity,OrderAddressEntity.OrderAddressEntityBuilder,17,37,0,0,0,1,2,6,2,6
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.order.entity,OrderItemEntityId,77,0,10,0,11,0,14,0,9,0
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.order.entity,OrderItemEntity,79,38,10,0,8,7,14,7,9,7
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.order.mapper,OrderDataAccessMapper,5,224,3,3,0,55,3,11,0,11
order-dataaccess,com.h.udemy.java.uservices.order.service.dataaccess.restaurant.mapper,RestaurantDataAccessMapper,65,3,0,0,16,1,5,1,5,1
