GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-domain-core,com.h.udemy.java.uservices.order.service.domain.messages.log,LogMessages,3,55,0,0,1,13,1,3,1,3
order-domain-core,com.h.udemy.java.uservices.order.service.domain.validation,Valid,3,11,0,0,1,3,1,1,1,1
order-domain-core,com.h.udemy.java.uservices.order.service.domain.event,OrderCreatedEvent,13,0,0,0,5,0,2,0,2,0
order-domain-core,com.h.udemy.java.uservices.order.service.domain.event,OrderEvent,15,0,0,0,6,0,3,0,3,0
order-domain-core,com.h.udemy.java.uservices.order.service.domain.event,OrderCancelledEvent,13,0,0,0,5,0,2,0,2,0
order-domain-core,com.h.udemy.java.uservices.order.service.domain.event,OrderPaidEvent,13,0,0,0,5,0,2,0,2,0
order-domain-core,com.h.udemy.java.uservices.order.service.domain.exception,OrderCouldNotBeSavedException,7,0,0,0,2,0,1,0,1,0
order-domain-core,com.h.udemy.java.uservices.order.service.domain.exception,OrderDomainInitialStateException,0,5,0,0,0,2,0,1,0,1
order-domain-core,com.h.udemy.java.uservices.order.service.domain.exception,OrderNotFoundException,4,0,0,0,2,0,1,0,1,0
order-domain-core,com.h.udemy.java.uservices.order.service.domain.exception,CustomerNotFoundException,7,0,0,0,2,0,1,0,1,0
order-domain-core,com.h.udemy.java.uservices.order.service.domain.exception,OrderDomainTotalPriceException,5,0,0,0,2,0,1,0,1,0
order-domain-core,com.h.udemy.java.uservices.order.service.domain.exception,OrderDomainException,0,4,0,0,0,2,0,1,0,1
order-domain-core,com.h.udemy.java.uservices.order.service.domain.entity,Order.Builder,43,35,0,0,13,13,7,7,7,7
order-domain-core,com.h.udemy.java.uservices.order.service.domain.entity,OrderItem.Builder,20,25,0,0,5,9,3,5,3,5
order-domain-core,com.h.udemy.java.uservices.order.service.domain.entity,Product,25,15,0,0,9,6,4,2,4,2
order-domain-core,com.h.udemy.java.uservices.order.service.domain.entity,OrderItem,17,59,3,3,6,14,8,5,5,5
order-domain-core,com.h.udemy.java.uservices.order.service.domain.entity,Order,122,182,19,13,29,53,22,19,8,17
order-domain-core,com.h.udemy.java.uservices.order.service.domain.entity,Restaurant,25,0,0,0,8,0,4,0,4,0
order-domain-core,com.h.udemy.java.uservices.order.service.domain.entity,Restaurant.Builder,24,0,0,0,8,0,5,0,5,0
order-domain-core,com.h.udemy.java.uservices.order.service.domain.entity,Customer,18,0,0,0,7,0,3,0,3,0
order-domain-core,com.h.udemy.java.uservices.order.service.domain.valueobject,TrackingId,5,4,0,0,1,2,1,1,1,1
order-domain-core,com.h.udemy.java.uservices.order.service.domain.valueobject,StreetAddress,70,15,12,0,7,1,12,1,6,1
order-domain-core,com.h.udemy.java.uservices.order.service.domain.valueobject,OrderItemId,0,4,0,0,0,2,0,1,0,1
order-domain-core,com.h.udemy.java.uservices.order.service.domain,OrderDomainService,166,10,4,0,42,3,13,2,11,2
