GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.log,LogMessages,30,0,0,0,10,0,4,0,4,0
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.exception,PaymentDomainException,4,0,0,0,2,0,1,0,1,0
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.exception,PaymentNotFoundException,4,0,0,0,2,0,1,0,1,0
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.entity,CreditEntry,0,39,0,0,0,12,0,6,0,6
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.entity,CreditEntry.Builder,9,15,0,0,3,5,2,3,2,3
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.entity,CreditHistory.Builder,0,29,0,0,0,10,0,6,0,6
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.entity,Payment.Builder,19,20,0,0,7,7,4,4,4,4
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.entity,Payment,0,73,1,3,0,22,1,11,0,10
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.entity,CreditHistory,3,29,0,0,1,9,1,4,1,4
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core,PaymentDomainService,0,274,0,16,0,58,0,19,0,11
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.valueobject,TransactionType,0,15,0,0,0,3,0,1,0,1
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.valueobject,CreditEntryId,4,0,0,0,2,0,1,0,1,0
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.valueobject,PaymentId,0,4,0,0,0,2,0,1,0,1
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.valueobject,CreditHistoryId,0,4,0,0,0,2,0,1,0,1
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.event,PaymentEvent,0,21,0,0,0,8,0,4,0,4
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.event,PaymentFailedEvent,5,9,0,0,2,3,1,1,1,1
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.event,PaymentCancelledEvent,5,9,0,0,2,3,1,1,1,1
payment-domain-core,com.h.udemy.java.uservices.payment.domain.core.event,PaymentCompletedEvent,5,9,0,0,2,3,1,1,1,1
